td,SP500
2010-09-27,-0.005667448
2010-09-28,0.0048503876000000005
2010-09-29,-0.0025877357
2010-09-30,-0.003083706
2010-10-01,0.0044164658
2010-10-04,-0.0080349445
2010-10-05,0.020856977
2010-10-06,-6.676912000000001e-4
2010-10-07,-0.0016465187
2010-10-08,0.0061222315
2010-10-11,1.4579296000000002e-4
2010-10-12,0.0038187504
2010-10-13,0.007120967000000001
2010-10-14,-0.003641367
2010-10-15,0.0020275116000000003
2010-10-18,0.007243752500000001
2010-10-19,-0.015877247
2010-10-20,0.010524035000000001
2010-10-21,0.0017739534000000001
2010-10-22,0.0023893118
2010-10-25,0.0021469593
2010-10-26,1.6927719e-5
2010-10-27,-0.0026906133
2010-10-28,0.0011248588599999999
2010-10-29,-4.3928623e-4
2010-11-01,9.465217600000001e-4
2010-11-02,0.0077593327
2010-11-03,0.0036780834
2010-11-04,0.019282818
2010-11-05,0.003922701
2010-11-08,-0.0021209717
2010-11-09,-0.0080522895
2010-11-10,0.0043760538
2010-11-11,-0.0042421222
2010-11-12,-0.011808514999999999
2010-11-15,-0.0012174249
2010-11-16,-0.01620543
2010-11-17,2.1219254e-4
2010-11-18,0.015357256
2010-11-19,0.0025403500000000002
2010-11-22,-0.0015753508
2010-11-23,-0.014284015
2010-11-24,0.014922976
2010-11-25,0
2010-11-26,-0.007468580999999999
2010-11-29,-0.0013788342
2010-11-30,-0.006070196599999999
2010-12-01,0.021616936
2010-12-02,0.012818575
2010-12-03,0.0026032925000000003
2010-12-06,-0.0012982488
2010-12-07,5.1510334e-4
2010-12-08,0.003701806
2010-12-09,0.0038427114
2010-12-10,0.0060015916999999995
2010-12-13,4.827976e-5
2010-12-14,9.109974e-4
2010-12-15,-0.005122423
2010-12-16,0.006185055
2010-12-17,8.368491999999999e-4
2010-12-20,0.002548337
2010-12-21,0.006030083
2010-12-22,0.0033795834000000004
2010-12-23,-0.0016443132999999998
2010-12-24,0
2010-12-27,6.127357499999999e-4
2010-12-28,7.712840999999999e-4
2010-12-29,0.0010091066
2010-12-30,-0.001508236
2010-12-31,-1.9401312e-4
2011-01-03,0.011318087999999999
2011-01-04,-0.0013130903
2011-01-05,0.005007148
2011-01-06,-0.0021229386
2011-01-07,-0.0018447638
2011-01-10,-0.0013763309000000001
2011-01-11,0.0037251709999999998
2011-01-12,0.009007573
2011-01-13,-0.0017107725
2011-01-14,0.0073884726
2011-01-17,0
2011-01-18,0.0013725757999999998
2011-01-19,-0.010115683
2011-01-20,-0.0012949705
2011-01-21,0.0024135113
2011-01-24,0.005836248400000001
2011-01-25,2.6345253e-4
2011-01-26,0.0042209625
2011-01-27,0.0022443533
2011-01-28,-0.017852545
2011-01-31,0.007662535000000001
2011-02-01,0.016693592
2011-02-02,-0.0027225018000000003
2011-02-03,0.002354145
2011-02-04,0.0028842688
2011-02-07,0.0062401295
2011-02-08,0.0041847230000000004
2011-02-09,-0.0027857422999999996
2011-02-10,7.494687999999999e-4
